	berger_parker_d
B1	0.07029281431922843
B10	0.5889208415317088
B103	0.2709109380291229
B104	0.17826137284407917
B105	0.28331515812431846
B106	0.12969731046762253
B11	0.33966352281417284
B117	0.30320226996351846
B118	0.2837651598676957
B119	0.44751296917912725
B12	0.5629650587070307
B120	0.13686336100516042
B126	0.08319709355131698
B129	0.06373856707317073
B13	0.7273185022429736
B130	0.05835933198752065
B133	0.05390625
B134	0.05185882352941176
B135	0.11777388492116965
B136	0.07075540089894157
B14	0.6645874175726252
B141	0.07882860294855079
B142	0.10730698529411764
B143	0.10954679538750335
B144	0.28619374523264685
B145	0.03962338171832091
B146	0.07016728624535316
B15	0.8388540088042145
B151	0.07415000854262771
B152	0.05603530992132028
B157	0.14200831847890671
B158	0.07854938271604939
B16	0.4256330560380291
B163	0.04705274043433299
B164	0.08581834737081721
B169	0.10161952554744526
B17	0.319648951730863
B170	0.11731565865782932
B18	0.12809671665455508
B19	0.3844782240449338
B2	0.0986402615246127
B20	0.14479243511501577
B21	0.15600921213499758
B22	0.10730997696690509
B23	0.245974513484145
B24	0.05414551607445008
B26	0.12764217413185708
B27	0.06742143842078525
B28	0.039614373356704646
B29	0.5195691033963684
B3	0.8047525974693962
B30	0.2873331451385248
B31	0.09531533250644023
B32	0.047043570866324026
B33	0.6161906870341672
B34	0.10089611682708265
B35	0.13431713506908544
B36	0.08684418665963617
B37	0.032755049197307096
B38	0.11812945426144685
B39	0.0770671834625323
B4	0.6845081135902636
B41	0.1695984069034185
B42	0.18738708220415537
B43	0.02235329786940823
B44	0.06038056766237908
B45	0.6582132913690837
B46	0.349015893063888
B47	0.12002585172190934
B48	0.11979766935587143
B49	0.04882977550795459
B5	0.30685107751688645
B50	0.10341723505176055
B51	0.1037653621546239
B52	0.10283494397534274
B53	0.14100708463472234
B54	0.06090529524819405
B55	0.10019569471624266
B56	0.09046250811011215
B57	0.21773683100077362
B58	0.13687035507844755
B59	0.06561788449596356
B6	0.4387259962832955
B60	0.09474416755037116
B61	0.3666298564401165
B62	0.42562101456172075
B63	0.0816551290119572
B64	0.05377376608411753
B65	0.1929992044550517
B66	0.11945653003587513
B67	0.32868646200301965
B68	0.1864380991022975
B69	0.09407623574716448
B7	0.2993899273104881
B70	0.061708613412537125
B71	0.09402146142054164
B72	0.18569479494564878
B8	0.10095617997301579
B9	0.3078144643684245
