"","Observed","Shannon","Simpson"
"B1",145,4.21507506433078,0.97544567591538
"B10",118,2.37856025376122,0.654023762257372
"B103",56,2.91372752977293,0.888243975234172
"B104",94,3.44579807283008,0.932567329670299
"B105",160,3.22288493653094,0.880276847698632
"B106",196,4.2051114002216,0.962752002101085
"B11",56,2.16591835150939,0.796592058892851
"B117",42,2.53648787834591,0.858382605787495
"B118",58,2.86652158696545,0.881962349281262
"B119",47,2.0274213178968,0.742797437305491
"B12",185,2.61609227577127,0.683858125793659
"B120",90,3.31846314412444,0.937399851749071
"B126",114,4.13383496193084,0.974383102133089
"B129",202,4.69053733941799,0.984476273163888
"B13",60,1.16538944050147,0.453808086145526
"B130",120,4.26001423662279,0.978606775322153
"B133",174,4.64699373551436,0.984257154118443
"B134",210,4.6305149581408,0.982438798815503
"B135",158,4.23528063842142,0.967342750887307
"B136",241,4.7036640741207,0.982396818063806
"B14",88,1.91143228968786,0.54520939787763
"B141",221,4.52043327951839,0.978358218554481
"B142",171,4.17045988408076,0.964727401252601
"B143",100,3.80201094793953,0.960415542886954
"B144",146,3.44637651001674,0.901232026270735
"B145",160,4.51160858710475,0.983854497274419
"B146",111,4.15289925574887,0.97613823032829
"B15",31,0.780239019709834,0.283071729041894
"B151",132,4.4094830474259,0.981456090853514
"B152",144,4.50290834272777,0.98288548425277
"B157",106,3.90926625622659,0.958566725941014
"B158",144,4.31331600230833,0.976870589661254
"B16",140,3.20993862828287,0.814544717787916
"B163",156,4.54540455105234,0.984120332705137
"B164",223,4.7968541625283,0.980874247874197
"B169",159,4.33350016830706,0.974631786890857
"B17",160,3.40598769397027,0.877402318118233
"B170",135,4.29138871228126,0.97364216746365
"B18",177,3.94527154105346,0.953995047679191
"B19",91,2.02867805486827,0.745007826274434
"B2",217,4.14880339141382,0.967609610238798
"B20",173,3.94183597401771,0.957458459694223
"B21",357,4.58299044510884,0.962907254088308
"B22",388,4.85112549760121,0.978013157253944
"B23",309,4.37307156804172,0.936812633185695
"B24",270,4.57138276581824,0.979552494146213
"B26",228,4.44900553214055,0.970331959594294
"B27",242,4.66478854794487,0.980989182980978
"B28",287,4.9887211853075,0.988487738772725
"B29",178,2.7388294791345,0.716867283677058
"B3",40,1.01722720080892,0.342399362506927
"B30",194,3.6646601523193,0.899557275856223
"B31",347,4.985500303971,0.982600066337267
"B32",242,4.56343437165256,0.981540564317295
"B33",233,2.42021346809054,0.613783163913909
"B34",263,4.46348086752096,0.973483843714109
"B35",172,4.3460094769364,0.968534466677106
"B36",262,4.60741132991368,0.978787625328703
"B37",196,4.83680342328145,0.988540982652926
"B38",209,4.48280801969887,0.972441108396797
"B39",285,4.74583971729708,0.979537647295003
"B4",79,1.5303000548623,0.520801046498226
"B41",217,4.36496674275854,0.962954994394354
"B42",552,4.84535113070051,0.955082579530326
"B43",971,6.25996647215762,0.996244962549778
"B44",139,4.08436782072396,0.973695923304238
"B45",127,2.01830864244701,0.554749139730564
"B46",139,3.38537508362827,0.869311936119631
"B47",196,4.46052197663951,0.972456083238103
"B48",212,4.34418176962984,0.970867214178436
"B49",251,4.53057684887854,0.980948866100537
"B5",123,2.8696801661782,0.845581804262313
"B50",279,4.68408092512216,0.977170982418064
"B51",233,4.43140233044242,0.972890865596384
"B52",364,4.91036955364185,0.978626869767325
"B53",269,4.65234519750137,0.970905995177717
"B54",286,4.57573741389619,0.978912287682828
"B55",365,5.12638565883725,0.98392527579786
"B56",231,4.52807828508939,0.977884911177113
"B57",184,3.83548926048591,0.931301251634354
"B58",113,3.79297055396537,0.955403194722405
"B59",229,4.66496467453729,0.981080055949591
"B6",95,2.18786793234944,0.740517549714073
"B60",335,4.71379410227711,0.976392674640407
"B61",215,3.25009595100758,0.833761918837768
"B62",155,2.71765117411315,0.788391349430946
"B63",318,4.75957530128726,0.97971401764817
"B64",251,4.57260691498098,0.980728979114512
"B65",262,4.26262317262631,0.947978105246128
"B66",223,4.14825866184577,0.96596404156632
"B67",261,3.92572796546031,0.887783338876371
"B68",233,4.01347443801016,0.948801337547706
"B69",254,4.37610815528193,0.971758921181715
"B7",46,2.03005724487408,0.80405016981406
"B70",187,4.2526471582411,0.975103942357356
"B71",831,5.52293551936564,0.979204745053647
"B72",867,5.20472648723813,0.955341119525536
"B8",205,4.1878145446094,0.970602786638781
"B9",41,2.15966015637229,0.817675867512075
