"","x"
"B10",0
"B104",0
"B106",0
"B118",0
"B12",0
"B120",0
"B126",0
"B130",0
"B134",0
"B136",0
"B14",0
"B141",0
"B142",0
"B144",0
"B146",0
"B152",0
"B158",0
"B16",0
"B164",0
"B170",0
"B18",0
"B2",0
"B20",0
"B22",0
"B24",0
"B26",0.0591343734272773
"B28",0.021384750219106
"B30",0.0944065814413034
"B32",0.112098902625365
"B34",0.0986202645678251
"B36",0.112101239124703
"B38",0
"B4",0
"B42",0.020042908762421
"B44",0.155203571808228
"B46",0.122197663403852
"B48",0
"B50",0
"B52",0
"B54",0
"B56",0.068217629066642
"B58",0.277869529314616
"B6",0
"B60",0
"B62",0
"B64",0
"B66",0
"B68",0
"B70",0
"B71",0
"B8",0
